2026-07-07 14:14:49,007 | INFO | __main__ | ✅ Ma'lumotlar bazasi tayyor.
2026-07-07 14:14:52,804 | INFO | __main__ | ✅ Bot muvaffaqiyatli ishga tushdi! Polling boshlandi...
2026-07-07 14:14:52,808 | INFO | aiogram.dispatcher | Start polling
2026-07-07 14:14:53,561 | INFO | aiogram.dispatcher | Run polling for bot @teeest_anime_bot id=8838659979 - 'test animebot'
2026-07-07 14:14:53,862 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:14:53,865 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8838659979)
2026-07-07 14:14:58,065 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:14:58,074 | WARNING | aiogram.dispatcher | Sleep for 1.285536 seconds and try again... (tryings = 1, bot id = 8838659979)
2026-07-07 14:14:59,628 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:14:59,641 | WARNING | aiogram.dispatcher | Sleep for 1.617663 seconds and try again... (tryings = 2, bot id = 8838659979)
2026-07-07 14:15:04,399 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:04,402 | WARNING | aiogram.dispatcher | Sleep for 2.105308 seconds and try again... (tryings = 3, bot id = 8838659979)
2026-07-07 14:15:06,619 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:06,624 | WARNING | aiogram.dispatcher | Sleep for 2.659765 seconds and try again... (tryings = 4, bot id = 8838659979)
2026-07-07 14:15:12,528 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: can't use getUpdates method while webhook is active; use deleteWebhook to delete the webhook first
2026-07-07 14:15:12,529 | WARNING | aiogram.dispatcher | Sleep for 3.368198 seconds and try again... (tryings = 5, bot id = 8838659979)
